INPUT ADDRESS	TRACT CODE	BLOCK CODE
9652 S Michigan Ave	490500	2004
3141 W Jackson Blvd	271200	1023
3320 W Hirsch St	230900	1023
6520 S Wood St	671300	1026
5410 S State St	836100	2000
4540 N Campbell Ave	40800	1003
7740 S Ingleside Ave	691500	3000
4647 W 47th St	560400	1001
3611 E 114th St	520600	1061
6220 S Stony Island Ave	420100	1023
1340 W 71st St	834900	1008
2103 N Lamon Ave	191100	1014
3729 W Leland Ave		
4055 W Arthington St	261000	2028
3221 N Sacramento Ave	210100	2018
1711 N California Ave	240700	1004
5534 S Saint Louis Ave	630900	3014
6333 W Bloomingdale Ave	250400	5011
3986 W Barry Ave	210501	2024
3525 S Honore St	590600	1000
11533 S Ada St	530300	3002
2828 N Oak Park Ave	180100	2009
5630 S Rockwell St	835100	2004
6800 S Stewart Ave		
1900 W 23rd St	863100	2032
1431 N Leamington Ave	250800	1018
2815 S Komensky Ave	301803	2001
3500 W Douglas Blvd	291200	2006
615 W Kemper Pl	71200	1008
8 W Root St	380500	1006
231 N Pine Ave	251900	3008
5300 S Loomis Blvd	611900	2021
2009 W Schiller St	241400	4000
2110 W Greenleaf Ave	20400	1005
1920 N Hamlin Ave	222900	1004
950 W 33rd Pl	839700	3014
5252 W Palmer St	191200	1013
1100 S Hamilton Ave	838200	2026
9025 S Throop St	730201	2009
8045 S Kenwood Ave	834300	2040
2233 S Kedzie Ave	300900	2003
5055 S State St	381800	1010
2832 W 24th Blvd	840700	2011
3500 N Hoyne Ave	50800	1011
7019 N Ashland Ave	10600	4004
7650 S Wolcott Ave	710400	5017
3030 N Mobile Ave		
6020 S Langley Ave	420500	1001
5900 N Glenwood Ave	30500	2008
5414 N Linder Ave	110501	2002
10354 S Charles St	720700	2002
3601 N Milwaukee Ave	161100	2015
10041 S Union Ave	730500	3005
2828 N Kilbourn Ave	200100	3028
3436 W Wilson Ave	140702	3000
3419 S Bell Ave	840300	3016
3020 N Lamon Ave	190200	2012
2935 W Polk St	271800	1015
6201 S Fairfield Ave	835000	3014
1059 W 13th St	862901	2008
3250 W Adams St	271300	1004
4217 W 18th St	292500	4016
4310 N Melvina Ave	150502	1009
3250 W Monroe St		
9755 S Greenwood Ave	500100	2005
9822 S Exchange Ave	510100	2051
1260 W Adams St	862901	2002
250 E 111th St	490901	3022
3120 S Kostner Ave	830500	1006
244 E Pershing Rd	839600	2013
3120 S Kostner Ave	830500	1006
5835 N Lincoln Ave	20701	1000
3120 S Kostner Ave	830500	1006
1744 W Pryor Ave		
2250 N Clifton Ave	71000	1013
4934 S Wabash Ave	381800	1010
7433 S Dorchester Ave	430400	4005
6130 S Wolcott Ave	670600	2004
5900 N Glenwood Ave	30500	2008
3444 W Wabansia Ave	230200	1008
730 N Pulaski Rd	842100	5012
6239 N Leavitt St	20901	1000
4946 S Paulina St	611300	3011
6550 S Richmond St	660800	4004
10845 S Union Ave	491100	4016
8050 S Chappel Ave	460500	6006
8010 S Kostner Ave	700301	3012
5252 W Palmer St	191200	1013
214 N Lavergne Ave	251800	2010
900 W Wilson Ave		
1420 N Hudson Ave	80400	1009
6206 N Hamlin Ave	130100	1024
3120 S Kostner Ave	830500	1006
1140 W 66th St	681000	1011
4220 N Richmond St	160601	2009
6006 S Peoria St	834800	1011
4929 N Sawyer Ave	140200	1008
10347 S Ewing Ave	520400	4004
1045 S Monitor Ave	831400	2044
5225 N Oak Park Ave	100600	2038
5025 N Laramie Ave	110502	2001
3740 W 31st St	301702	1006
3151 W Walnut St	837100	1011
4257 N Tripp Ave	160300	3003
4214 S St Lawrence Ave	380100	1027
3730 N Oakley Ave	50500	5002
6200 S Hamlin Ave	650100	3011
5300 S Hermitage Ave	611800	2004
10115 S Prairie Ave	490800	4004
936 N Ashland Ave	829301	2025
2010 N Central Park Ave	220901	2008
1631 W Jonquil Ter	10100	2012
3730 W Bryn Mawr Ave	130100	2015
3030 W Arthington St	837300	1020
225 W Evergreen Ave	80300	1007
8530 S Wood St	711200	3007
4728 N Wolcott Ave	830800	1002
10015 S Leavitt St	720300	3014
6631 N Bosworth Ave	830600	1000
5411 W Fullerton Ave	191200	2000
4320 W 5th Ave	261000	1032
6530 W Bryn Mawr Ave	100300	1009
3651 W Schubert Ave	220702	4006
1840 W Ohio St	243100	2001
2233 W Ohio St	242900	2001
5900 N Winthrop Ave	30601	2001
4747 S Union Ave	843800	1007
4420 N Beacon St	31700	4005
555 E 51st St	836100	3000
5039 N Kimball Ave	831800	4000
9811 S Lowe Ave	730500	4031
8331 S Mackinaw Ave	460200	1001
2001 N Orchard St	71200	2007
2400 S Marshall Blvd	301100	1003
3535 E 114th St	520600	1060
330 E 133rd St	540101	2002
4140 N Marine Dr	31400	2004
223 N Keeler Ave	260200	1013
139 S Parkside Ave	828900	1034
3527 S Wallace St	839900	1000
9746 S Morgan St	730400	3008
1340 W Harrison St	832900	2009
917 W 88th St	711400	2018
1441 W 119th St	530400	2004
6543 S Champlain Ave	420700	2004
240 W 104th St	491000	3006
9912 S Avenue H	520100	1042
2712 S Sawyer Ave	840800	1016
6024 W Warwick Ave	170200	1015
6901 S Fairfield Ave	660900	3022
4934 S Wabash Ave	381800	1010
8914 S Buffalo Ave	833900	1007
8801 S Indiana Ave	440600	1003
1900 W Van Buren St	838100	2034
500 N Sacramento Blvd	836700	2009
8164 S South Chicago Ave	450300	1027
1145 W Wilson Ave	830700	4006
4865 N Sheridan Rd	31300	4002
10001 S Woodlawn Ave	500100	4011
8505 S Ingleside Ave	440102	1011
1060 E 47th St	390200	2014
1814 S Union Ave	310200	2015
2001 S California Ave	840700	3002
3235 N LeClaire Ave	151001	2004
4909 W Division St	251100	1000
10841 S Homan Ave	740300	2009
6445 W Strong St	100700	1015
851 W Waveland Ave	61000	1009
533 W 27th St	840100	1009
1711 N California Ave	240700	1004
6011 S Rockwell St	835000	5013
1310 S Ashland Ave	829301	2042
4415 S Dr Martin L King Jr Dr	836000	1002
7350 S Evans Ave	690900	2002
3030 W Harrison St	271200	1038
1420 S Albany Ave	843100	1020
1707 W Morse Ave	10702	2009
6751 W 63rd Pl	640500	1010
8300 S St Louis Ave	700401	1065
7511 S South Shore Dr	431400	2001
3020 W 108th St	740100	3002
4820 W Walton St	251000	1027
10540 S Morgan St	730700	2032
9035 S Langley Ave	440900	1015
3021 W Carroll Ave	837100	1003
4420 S Fairfield Ave	580600	4012
2040 W 62nd St	670500	1048
821 E 103rd St	500200	1000
6656 S Normal Blvd	680900	3010
4818 W Ohio St	251700	1040
7350 W Pratt Ave	90200	2007
1269 W 111th St	750600	3001
3400 W 65th Pl	660500	3000
3937 W Wilcox St	260800	1012
2570 S Blue Island Ave	841300	3020
6525 N Hiawatha Ave	120200	2000
6448 S Tripp Ave	650301	1016
5025 S Saint Louis Ave	831800	4014
32 E 115th St	491400	2028
4815 S Karlov Ave	570300	1016
12339 S Normal Ave	530503	2000
3600 W 5th Ave	270500	1012
243 N Parkside Ave	252000	1008
2710 E 89th St	821600	2013
1865 W Montvale Ave	750500	3023
4837 W Erie St	251700	1041
8555 S Michigan Ave	440300	3010
3252 N Broadway St	62000	1007
700 W Willow St	71800	1005
2200 N Hamlin Ave	220902	1018
3539 W Grace St	160800	4008
5335 S Kenwood Ave		
12607 S Union Ave	530503	3019
11710 S Morgan St	530300	2019
8101 S LaSalle St	842400	1029
644 W 71st St	681200	1010
3424 S State St	842000	2008
409 W 80th St	842400	3022
145 S Campbell Ave	280800	1010
5250 S Rockwell St	630500	4012
512 S Lavergne Ave	252201	3012
2121 N Keeler Ave	200402	2012
110 N Paulina St	280400	1034
2520 S Western Ave	841300	2016
3021 W Carroll Ave	837100	1003
4540 W Belmont Ave	161200	2020
5515 S Lowe Ave	834700	3007
17 N. State	320100	1017
1233 W. 109th Street	750100	4013
5401 S. Western		
2456 N. Mango Ave.	190602	2027
4127 W Hirsch St	230600	3017
7646 S Green St	710200	1010
6940 S Merrill Ave	430101	1002
5900 N Nina Ave	100300	4016
1425 N Tripp Ave	230600	4008
1040 N Keeler Ave	842100	6008
525 N Armour St	243300	2012
5101 W Harrison St	831400	1006
6634 W Raven St	100200	2011
543 N Waller Ave	251400	2006
5424 N Oketo Ave	100500	3000
5024 S Wolcott Ave	611400	2002
4251 N Clarendon Ave	31400	1001
25 W 47th St	381700	1000
6550 S Seeley Ave	671400	1021
7050 S May St	681100	5015
1839 N Richmond St	222500	1012
11816 S Indiana Ave	530100	2022
1434 N Parkside Ave	250600	1008
5235 W Belden Ave	191200	1013
6950 N Hiawatha Ave	120100	4011
55 W Cermak Rd	841000	1022
1440 S. Christiana	841500	2004
2100 E 87th St	450300	3005
5255 S State St	836100	1008
3000 S King Dr		
700 S State St	839000	4000
2148 N Long Ave	828504	2004
1034 N Wells St	838300	2003
5009 S Laflin St	611200	2020
249 E 37th St	839600	2009
8247 S Christiana Ave	700401	4013
5051 N Kenneth Ave	140400	4006
6800 S Stewart Ave		
7037 S Rhodes Ave	690500	1023
6938 S East End Ave	430200	3000
6311 S Calumet Ave	842500	1001
5825 S Kostner Ave	620300	5005
3826 W 58th St	620400	3004
749 S Oakley Blvd	838200	1008
1423 W Bryn Mawr Ave	30800	1009
2131 W Monroe St	838000	1012
3615 W 16th St	292200	2002
4225 S Lake Park Ave	836400	1018
431 N Troy St	836700	2042
3400 N Austin Ave	171100	1012
3124 W. 47th Street	842800	3010
5450 S Talman Ave	630500	3012
160 W Wendell St	81000	5000
7014 S Washtenaw Ave	660900	3027
2908 W Washington Blvd	837100	2030
7530 S South Shore Dr	431400	2002
7877 S Coles Ave	460100	1007
24 W Walton St	81100	1002
2400 S Marshall Blvd	301100	1003
2625 N Orchard St	70200	1011
7877 S Coles Ave	460100	1007
8401 S Saginaw Ave	460301	3011
2421 W. Division	242500	1001
845 W. 69th Street	681100	2002
7847 S Jeffery Blvd	431200	1026
3815 N Kedvale Ave	161000	1013
2401 W. Congress Pkwy	282700	2013
1415 E 70th St	430300	3009
3510 W 55th St	630300	2008
2231 N Central Ave	191200	2000
640 W Scott St	842200	1043
6730 S Paulina St	671500	1016
4445 S Drexel Blvd	390300	2009
6220 N Olcott Ave	100300	5026
1321 S Paulina St	842900	4065
2957 N Hoyne Ave	51400	2003
3519 S Giles Ave	839600	2000
1250 W Erie St	243400	1024
3857 W 111th St	740400	3008
5015 S Blackstone Ave	390700	2006
7342 S Hoyne Ave	672000	4008
231 N Pine Ave	251900	3008
5501 N Kedzie Ave	831800	5000
1148 N Honore St	242200	1001
2700 S California Ave	843500	1023
211 S Laflin St	833100	3031
4959 S Archer Ave	570400	2002
1000 W 52nd St	612000	2000
245 W 57th St	834600	4027
3630 S Wells St	340600	1012
4520 S Kedzie Ave	580400	2003
9000 S Exchange Ave	833900	2018
11140 S Bishop St	750600	4001
3625 S Hoyne Ave	590500	1033
6201 S Stewart Ave	834600	3043
4250 S Rockwell St	580600	3000
145 S Campbell Ave	280800	1010
1330 E 50th St	390600	2003
4027 W Grenshaw St	843000	2027
1313 S Sacramento Dr	843100	1005
231 N Pine Ave	251900	3008
3300 N Campbell Ave	829500	3017
2022 W Washington Blvd	837800	2014
2727 N Long Ave	190701	2007
4600 S Hermitage Ave	610400	1015
3330 W 71st St	660900	3011
7507 W Birchwood Ave	90100	4022
7500 N Harlem Ave	90100	1001
6057 S. Western Ave	835000	1001
2611 W 48th St	842800	4006
2245 W Jackson Blvd	838000	1026
2111 W 47th St	611500	2000
3900 N Lawndale Ave	160900	1005
7141 S Morgan St	681400	4010
3222 W Roosevelt Rd	843000	1029
10928 S. Halsted Ave	750100	1011
3100 W Belmont Ave	210100	2020
7651 S Homan Ave	700100	1000
819 N Leamington Ave	251100	3013
3270 W 87th St	700402	3025
3231 N Springfield Ave	831100	4027
6700 N Whipple St	20301	2002
3000 N Mango Ave	190402	1030
1955 E 75th St	834200	2000
1522 W Fillmore St	283100	1003
5400 S St Louis Ave	630300	2008
4707 W Marquette Rd	650500	3014
1132 S Homan Ave	843000	1027
212 S Francisco Ave	837000	1007
1616 S Avers Ave	292400	1002
314 W 108th St	491000	5011
3737 S Paulina St	590700	2026
2401 W Congress Pkwy	282700	2013
4217 W 18th St	292500	4016
4131 W Cortland Ave	831200	3014
1454 W Superior St	243300	1004
7200 S Ingleside Ave	841800	2033
1010 N Noble St	242000	1004
1817 W 80th St	710500	3002
1309 W 95th St	730400	2001
3900 W Peterson Ave	130100	2003
7212 N Clark St	10202	2002
38 S Peoria St	833100	1005
1239 S Pulaski Rd	838700	3008
1405 N Washtenaw Ave	241000	1005
3711 W Douglas Blvd	838700	4001
3814 W Iowa St	231200	3002
1628 W Washington	280400	1036
931 S Homan Ave	843000	1001
6105 S Michigan Ave	400800	2007
3820 N Spaulding Ave	160800	5019
11530 S Prairie Ave	530100	1015
2235 N Hamilton Ave	832200	1018
9535 S Loomis St	730400	2001
1501 E 83rd Pl	834300	3006
1816 W Garfield Blvd	834700	1000
5608 W Washington Blvd	252000	2000
2714 W Augusta Blvd	242600	4000
8130 S California Ave	700501	3036
2245 N McVicker Ave	191301	1018
1616 S Spaulding Ave	841500	2021
2040 W Adams St	838000	1028
1424 N Cleaver St	241600	1010
8255 S Houston Ave	460100	4005
1326 W 14th Pl	842900	3010
2520 S Western Ave	841300	2016
1 N State St	320100	1017
2744 W Pershing Rd		
8914 S Buffalo Ave	833900	1007
801 E 133rd Pl		
521 E 35th St	351100	3000
6350 S Stewart Ave	680900	2014
1641 W 16th St	862902	2012
4248 W 47th St	570200	1016
2651 W 23rd St	863201	2010
2845 W Barry Ave	210800	1007
5135 S California Ave	630500	4004
4248 W 47th St	570200	1016
6201 S Stewart Ave	834600	3043
2641 S Calumet Ave	839200	1001
2916 W 47th St	842800	5007
1301 W 14th St	862902	1004
13300 S Langley Ave	540101	1002
4934 S Wabash Ave	381800	1010
7823 S Ellis Ave	691500	2025
6515 S Ashland Ave	671100	1014
1135 N Cleaver St	242000	3000
620 N Sawyer Ave	836700	1016
4444 S Evans Ave	836000	3014
4248 W 47th St	570200	1016
1119 E 46th St	390200	1006
6420 S University Ave	834400	1008
6936 S Hermitage Ave	671500	3015
707 E 37th St	836500	2007
1643 W Bryn Mawr Ave	30900	1002
1313 S Sacramento Dr	843100	1005
3645 W Chicago Ave	231500	4004
1337 W Ohio St	243400	3006
1615 S. Christiana Ave.	841500	2021
1231 S Damen Ave	842900	4028
8131 S May St	710800	6008
1930 S Archer Ave	330200	2037
3663 S Wabash Ave		
5545 W Harrison St	831400	2003
8131 S May St	710800	6008
2510 S Kildare Ave	301801	2003
5631 S Kimbark Ave	411200	1005
6010 S Throop St	670900	2004
4332 N Paulina St	60200	1002
11311 S Forrestville Ave	500300	2011
2230 W McLean Ave	221600	1032
8601 W Foster Ave	760803	4002
2128 S Saint Louis Ave	841400	1004
1241 W 19th St	863100	1021
3650 W School St	831100	4002
2554 W 113th St	750400	1018
834 E 50th St	390400	2010
3810 W 81st Pl	700401	2026
7030 N Sacramento Ave	20301	1000
3116 W Belden Ave	221200	2007
3014 W 39th Pl	580501	1000
1632 W Wrightwood Ave	70700	1000
4650 N Menard Ave	150401	3007
646 N Lawndale Ave	231500	6022
5330 W Berteau Ave	150300	3009
5510 N Christiana Ave	831800	5005
3200 S Calumet Ave	839500	1007
13231 S Burley Ave	550100	4002
2301 W 21st Pl	841200	2034
10309 S Morgan St	730700	2000
6110 N Fairfield Ave	20802	2006
2642 W 15th Pl	843300	1043
3121 W Byron St	160700	5009
650 E 85th St	440202	2010
8441 S Yates Blvd	460400	3012
2350 W 110th Pl	750200	4005
10538 S Langley Ave	500200	2014
1003 N Leavitt St	242300	1029
8150 S Bishop St	710600	1012
7414 N Wolcott Ave	10201	2037
4046 N Leavitt St	50200	3009
1624 W 19th St	863100	2003
1616 S Avers Ave	292400	1002
9130 S University Ave	470100	1001
2410 S Leavitt St	841300	3000
17 N. State St.	320100	1017
2739 W Division St	242600	2001
7836 S Union Ave	710100	1017
4701 S King Dr		
1231 S Pulaski Rd	838700	3008
5352 W Chicago Ave	251200	3009
1116 N Kedzie Ave	836600	2008
7416 N Ridge Blvd	20100	2001
3121 N Pulaski Rd	210501	2024
2920 S Wabash Ave	839200	2018
4651 W Madison St	252202	1001
2050 N Natchez Ave	831500	2002
3537 S Paulina St	590700	2018
4319 W Washington Blvd	260300	1027
3825 S Washtenaw Ave	580100	2010
931 S Homan Ave	843000	1001
3501 W Potomac Ave	230800	1015
2710 E 89th St	821600	2013
8748 S Aberdeen St	711400	2009
6450 S Lowe Ave	680900	1008
3900 N Lawndale Ave	160900	1005
6550 S Seeley Ave	671400	1021
2345 S Millard Ave	300600	1019
1940 W 18th St	310900	1002
6727 S California Ave	660900	3001
6700 N Greenview Ave	10600	1015
3212 W George St	210602	1000
2510 W Cortez St	242500	1013
9351 S Lowe Ave	730100	2002
1443 N Ogden Ave	842200	1040
5625 S Mobile Ave		
431 N Troy St	836700	2042
5050 S Homan Ave	630300	2004
8306 S Saint Lawrence Ave	440202	1017
4201 W Henderson St	161300	3002
6108 S Natoma Ave	640400	2034
535 E 35th St	351100	3000
7240 S Wabash Ave	691000	4007
6040 N Kilpatrick Ave	120300	4006
8716 S Wallace St	711500	2009
5415 S Union Ave	843800	2023
1850 N Newland Ave	250500	4020
3436 N Osceola Ave	170800	2011
5248 S Sawyer Ave	630300	1014
1010 E 72nd St	841800	2029
7345 N Washtenaw Ave	20200	2007
4747 S Marshfield Ave	611300	1004
7831 S Prairie Ave	691300	2020
2710 S Dearborn St	350400	1003
9300 S Princeton Ave	834000	1025
1845 W Cortland St	831000	2017
3425 N Major Ave	151200	1011
1501 N Greenview Ave	241600	1009
936 E 54th St	410500	1000
1150 W 96th St	730400	4003
1734 N Orleans St	71500	4008
1419 E 89th St	480300	1006
1313 N Claremont Ave	241200	2011
1551 W 95th St	730400	2006
1136 W 122nd St	530400	1014
1700 W 83rd St	711200	1012
1710 E 93rd St	480400	4019
6741 S Michigan Ave	690400	4001
7355 S Jeffery Blvd	430800	1014
3149 N Wolcott Ave	51300	1002
5650 N Mozart St	20701	2009
3849 W 69th Pl	650400	4000
820 S Carpenter St	833300	1032
4247 W 15th St	290900	3016
2850 W 24th Blvd	840700	2011
9241 S Leavitt St	720100	1003
1746 S Miller St	310400	1002
1420 W 17th St	862902	2010
1119 N Cleveland Ave	838300	1008
1630 W Barry Ave	62600	1006
5356 S King Dr	400300	1003
2035 N Mobile Ave	191301	2018
2701 W Foster Ave	40201	2005
1621 W Wabansia Ave	240200	1017
650 E 91st Pl	440900	1018
2524 S Central Park Ave	300600	2015
9928 S Crandon Ave	510300	4012
1420 W Grace St	60400	1012
3711 W Douglas Blvd	838700	4001
4619 S Wolcott Ave	610300	3025
3244 W Ainslie St	140200	1007
5625 N McVicker Ave	100100	3015
10650 S Eberhart Ave	490902	1024
8324 S Racine Ave	711100	1000
54 N Hermitage Ave	838100	2001
955 W Garfield Blvd	834700	2000
1104 W 31st St	600600	1015
8905 S Crandon Ave	480400	1002
720 N Lorel Ave	251500	3000
7931 S Honore St	710500	3000
6710 N Washtenaw Ave	20601	1000
3434 W 77th St	700100	1011
7736 S Burnham Ave	431301	1003
2723 N Fairfield Ave	220300	1006
11411 S Eggleston Ave	491200	1022
10740 S Calhoun Ave	838800	1010
3800 N New England Ave	170300	3005
630 E 131st St	540102	2010
11314 S Spaulding Ave	740400	2002
5740 S Michigan Ave	400500	2002
901 E 133rd Pl	540101	3008
744 E 103rd St	500100	4030
3010 S Parnell Ave	840100	2013
6657 S Kimbark Ave	834400	2014
5650 S Wolcott Ave	670400	1024
4409 W Wilcox St	260500	1007
4747 S Winchester Ave	611400	3005
4640 S Lamon Ave	560200	3024
1212 S Plymouth Ct	330200	2006
4250 N Saint Louis Ave	160501	2017
4316 S Princeton Ave	835500	2009
5042 S Artesian Ave	630200	1018
2450 W Rice St	242500	2007
2021 N Point St	221400	3004
2135 W Foster Ave	40402	2002
2745 W Roosevelt Rd	843300	1005
832 W Sheridan Rd	832100	3007
3542 S Washtenaw Ave	580100	1012
932 N Central Ave	251300	2000
5329 S Oak Park Ave	560900	3014
2819 W 21st Pl	863201	3016
2332 S Western Ave	841300	2002
1556 E 56th St	411000	3003
1841 N Springfield Ave	831200	1009
4540 N Hamlin Ave	140602	3012
7525 S Harvard	691200	1001
3319 N Clifton Ave	62200	2010
2728 S Kostner Ave	301801	2023
1518 W Granville Ave	30200	4021
1018 N Laramie Ave	251200	4019
2929 W 83rd St	700502	2000
1414 E 61st Pl	420200	1005
5516 S Maplewood Ave	40202	1001
2620 S Lawndale Ave	301701	1004
8546 S Cregier Ave	450300	4009
3740 N Panama Ave	170500	4002
1234 N Monticello Ave	230700	2011
